Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Propertycount,Price
Yallambie,4,h,Morrison,13-05-2017,15,3085,,,,,,,Northern Metropolitan,1369,955000
Balaclava,2,u,Buxton,13-05-2017,6.6,3183,2,1,1,50,50,1960,Southern Metropolitan,2952,450000
Essendon West,3,h,Nelson,13-05-2017,9.8,3040,3,1,1,84,,,Western Metropolitan,588,1406000
Kingsbury,3,u,Ray,13-05-2017,12.4,3083,3,1,1,260,150,1961,Northern Metropolitan,1414,488000
West Melbourne,3,h,Woodards,13-05-2017,1.9,3003,3,1,1,160,,1870,Northern Metropolitan,2230,1750000
Abbotsford,2,h,Biggin,13-08-2016,2.5,3067,2,1,1,195,,,Northern Metropolitan,4019,1172500
Airport West,4,h,Jellis,13-08-2016,13.5,3042,,,,,,,Western Metropolitan,3464,758000
Airport West,2,u,Barry,13-08-2016,13.5,3042,2,1,1,192,,,Western Metropolitan,3464,440000
Alphington,3,h,Nelson,13-08-2016,6.4,3078,,,,,,,Northern Metropolitan,2211,1480000
Altona,3,u,Barlow,13-08-2016,13.8,3018,3,2,1,69,141,2014,Western Metropolitan,5301,730000
Altona,3,t,hockingstuart,13-08-2016,13.8,3018,,,,,,,Western Metropolitan,5301,916500
Ascot Vale,3,h,Jellis,13-08-2016,5.9,3032,3,2,2,495,139,1920,Western Metropolitan,6567,1425000
Ascot Vale,3,h,Nelson,13-08-2016,5.9,3032,,,,,,,Western Metropolitan,6567,925000
Ashwood,4,h,Buxton,13-08-2016,12.2,3147,4,3,2,724,,,Southern Metropolitan,2894,1415000
Balwyn,2,u,Jellis,13-08-2016,9.7,3103,2,1,1,115,104,1960,Southern Metropolitan,5682,625000
Balwyn,2,t,Noel,13-08-2016,9.7,3103,2,1,1,104,,,Southern Metropolitan,5682,700000
Balwyn North,3,h,Fletchers,13-08-2016,9.2,3104,3,2,3,763,168,1960,Southern Metropolitan,7809,1700000
Balwyn North,3,h,Noel,13-08-2016,9.2,3104,2,1,2,854,,1948,Southern Metropolitan,7809,1750000
Bentleigh,2,u,hockingstuart,13-08-2016,13,3204,2,1,1,227,100,1990,Southern Metropolitan,6795,725000
Bentleigh East,3,h,Woodards,13-08-2016,13.9,3165,3,2,4,684,,,Southern Metropolitan,10969,1307000
Bentleigh East,4,h,Ray,13-08-2016,13.9,3165,4,1,2,658,112,,Southern Metropolitan,10969,1010000
Bentleigh East,2,h,Buxton,13-08-2016,13.9,3165,2,1,1,591,102,1960,Southern Metropolitan,10969,702000
Bentleigh East,2,h,Buxton,13-08-2016,13.9,3165,2,1,1,306,,,Southern Metropolitan,10969,813000
Box Hill,2,u,Ray,13-08-2016,13.1,3128,2,2,1,50,65,2010,Eastern Metropolitan,4605,465000
Braybrook,2,h,Douglas,13-08-2016,10.8,3019,2,1,2,551,,,Western Metropolitan,3589,670000
Brighton,3,h,Hodges,13-08-2016,11.2,3186,3,2,2,275,170,1991,Southern Metropolitan,10579,1875000
Brighton,4,h,Hodges,13-08-2016,11.2,3186,4,2,2,640,,,Southern Metropolitan,10579,2400000
Brighton,3,u,Hodges,13-08-2016,11.2,3186,3,1,2,277,116,1950,Southern Metropolitan,10579,1266000
Brighton East,5,h,Buxton,13-08-2016,10.7,3187,5,2,0,645,238,1970,Southern Metropolitan,6938,1915000
Brighton East,4,h,Hodges,13-08-2016,10.7,3187,,,,,,,Southern Metropolitan,6938,1840000
Brighton East,2,u,Buxton,13-08-2016,10.7,3187,,,,,,,Southern Metropolitan,6938,755000
Brighton East,4,h,hockingstuart,13-08-2016,10.7,3187,5,3,2,598,212,1948,Southern Metropolitan,6938,1650000
Brunswick,4,h,Nelson,13-08-2016,5.2,3056,4,1,1,416,,,Northern Metropolitan,11918,1358000
Brunswick,3,h,Brad,13-08-2016,5.2,3056,2,1,0,209,,,Northern Metropolitan,11918,840000
Brunswick,2,t,Jellis,13-08-2016,5.2,3056,2,2,1,50,100,2002,Northern Metropolitan,11918,685000
Brunswick,2,u,Woodards,13-08-2016,5.2,3056,2,1,1,768,,1970,Northern Metropolitan,11918,600000
Brunswick,3,u,Galldon,13-08-2016,5.2,3056,,,,,,,Northern Metropolitan,11918,940000
Burwood,4,h,Jellis,13-08-2016,11.7,3125,3,1,4,586,,1955,Southern Metropolitan,5678,900000
Camberwell,3,t,Marshall,13-08-2016,7.8,3124,,,,,,,Southern Metropolitan,8920,1500000
Camberwell,5,h,Noel,13-08-2016,7.8,3124,,,,,,,Southern Metropolitan,8920,4440000
Camberwell,2,h,Jellis,13-08-2016,7.8,3124,2,1,1,122,,1960,Southern Metropolitan,8920,620000
Carnegie,2,t,Ray,13-08-2016,11.4,3163,2,1,1,144,96,2000,Southern Metropolitan,7822,707000
Carnegie,2,u,hockingstuart,13-08-2016,11.4,3163,2,2,1,50,86,1993,Southern Metropolitan,7822,804000
Caulfield North,2,u,Gary,13-08-2016,8.1,3161,2,1,1,50,,,Southern Metropolitan,6923,520500
Caulfield South,3,h,RT,13-08-2016,9.3,3162,2,2,1,478,120,1925,Southern Metropolitan,5051,1450000
Chadstone,2,h,Ray,13-08-2016,13.6,3148,2,1,1,585,97,1950,Southern Metropolitan,3582,1002000
Clifton Hill,2,u,iTRAK,13-08-2016,3.4,3068,2,1,1,515,50,1970,Northern Metropolitan,2954,495000
Clifton Hill,1,u,Collins,13-08-2016,3.4,3068,1,1,1,50,,,Northern Metropolitan,2954,325000
Clifton Hill,3,h,Collins,13-08-2016,3.4,3068,3,2,1,176,135,1890,Northern Metropolitan,2954,1370000
Coburg,2,t,Nelson,13-08-2016,7.8,3058,2,1,2,138,,,Northern Metropolitan,11204,657000
Coburg North,3,h,Walshe,13-08-2016,9.2,3058,,,,,,,Northern Metropolitan,3445,835500
Coburg North,3,h,Brad,13-08-2016,9.2,3058,3,2,3,556,129,1950,Northern Metropolitan,3445,707000
Collingwood,1,u,Jellis,13-08-2016,1.6,3066,1,1,1,406,49,1970,Northern Metropolitan,4553,457000
Collingwood,2,u,hockingstuart,13-08-2016,1.6,3066,,,,,,,Northern Metropolitan,4553,380000
Doncaster,3,h,Darren,13-08-2016,13.9,3108,3,1,2,1157,,,Eastern Metropolitan,9028,1310000
Doncaster,4,u,Barry,13-08-2016,13.9,3108,3,1,1,241,105,1970,Eastern Metropolitan,9028,753000
Elsternwick,4,h,Biggin,13-08-2016,8.5,3185,4,2,2,527,184,1880,Southern Metropolitan,4898,2600000
Elwood,2,u,McGrath,13-08-2016,7.7,3184,2,1,2,50,,2003,Southern Metropolitan,8989,1015000
Essendon,3,t,Barry,13-08-2016,8,3040,3,2,1,160,129,1985,Western Metropolitan,9264,650000
Essendon,1,u,Brad,13-08-2016,8,3040,,,,,,,Western Metropolitan,9264,253000
Fitzroy,2,t,Nelson,13-08-2016,1.6,3065,2,2,2,50,105,2000,Northern Metropolitan,5825,880000
Fitzroy,4,h,Caine,13-08-2016,1.6,3065,4,4,2,337,291,1854,Northern Metropolitan,5825,3310000
Fitzroy,3,h,Jellis,13-08-2016,1.6,3065,3,2,1,138,,1900,Northern Metropolitan,5825,1481000
Flemington,3,h,Australian,13-08-2016,4.4,3031,3,1,1,212,102,1930,Northern Metropolitan,3593,1012000
Flemington,3,h,Nelson,13-08-2016,4.4,3031,3,1,0,162,,,Northern Metropolitan,3593,885000
Flemington,3,h,Nelson,13-08-2016,4.4,3031,2,1,1,313,20,,Northern Metropolitan,3593,1315000
Footscray,4,h,Biggin,13-08-2016,6.4,3011,3,1,2,633,,,Western Metropolitan,7570,1100000
Footscray,3,h,Jas,13-08-2016,6.4,3011,2,1,1,451,130,1910,Western Metropolitan,7570,932000
Glen Iris,3,h,Marshall,13-08-2016,9.2,3146,3,2,3,607,,,Southern Metropolitan,10412,1875000
Glen Iris,3,h,Marshall,13-08-2016,9.2,3146,3,3,2,385,255,,Southern Metropolitan,10412,1430000
Hadfield,4,h,Eview,13-08-2016,12.1,3046,3,1,2,700,176,1960,Northern Metropolitan,2606,777000
Hadfield,3,h,Nelson,13-08-2016,12.1,3046,,,,,,,Northern Metropolitan,2606,634000
Hadfield,2,h,Stockdale,13-08-2016,12.1,3046,3,3,1,580,103,1950,Northern Metropolitan,2606,722000
Hampton,2,u,Buxton,13-08-2016,13.7,3188,2,1,1,162,,1970,Southern Metropolitan,5454,786000
Hampton East,4,t,RT,13-08-2016,14.5,3188,,,,,,,Southern Metropolitan,2356,1335000
Hampton East,3,h,Hodges,13-08-2016,14.5,3188,3,2,2,614,,,Southern Metropolitan,2356,1255000
Hampton East,2,u,J,13-08-2016,14.5,3188,,,,,,,Southern Metropolitan,2356,725000
Hawthorn,2,u,CASTRAN,13-08-2016,4.6,3122,2,1,1,50,,,Southern Metropolitan,11308,520000
Hawthorn,1,u,Jellis,13-08-2016,4.6,3122,1,1,1,50,50,1940,Southern Metropolitan,11308,480000
Hawthorn,2,u,Marshall,13-08-2016,4.6,3122,,,,,,,Southern Metropolitan,11308,571000
Hawthorn,2,u,Jellis,13-08-2016,4.6,3122,2,1,1,71,,,Southern Metropolitan,11308,630000
Hawthorn,4,h,Jellis,13-08-2016,4.6,3122,4,2,2,665,220,1890,Southern Metropolitan,11308,3225000
Hughesdale,4,h,Ray,13-08-2016,13,3166,1,1,1,369,,,Southern Metropolitan,3145,900000
Ivanhoe,3,h,Jellis,13-08-2016,7.9,3079,,,,,,,Eastern Metropolitan,5549,650000
Ivanhoe,4,h,Miles,13-08-2016,7.9,3079,,,,,,,Eastern Metropolitan,5549,1278000
Keilor East,2,u,Nelson,13-08-2016,12.8,3033,2,1,1,218,88,,Western Metropolitan,5629,470000
Keilor East,4,h,Nelson,13-08-2016,12.8,3033,,,,,,,Western Metropolitan,5629,760000
Kensington,2,h,Nelson,13-08-2016,4.2,3031,2,2,2,169,127,2008,Northern Metropolitan,5263,1234500
Kensington,2,u,Nelson,13-08-2016,4.2,3031,2,1,2,1111,92,1998,Northern Metropolitan,5263,666000
Kensington,2,h,Nelson,13-08-2016,4.2,3031,,,,,,,Northern Metropolitan,5263,785000
Kensington,2,u,Jellis,13-08-2016,4.2,3031,,,,,,,Northern Metropolitan,5263,564000
Kew,3,h,Marshall,13-08-2016,5.6,3101,3,3,4,1197,,1927,Southern Metropolitan,10331,2770000
Kew,6,h,Jellis,13-08-2016,5.6,3101,6,6,3,1334,365,1890,Southern Metropolitan,10331,6500000
Kew,4,h,Marshall,13-08-2016,5.6,3101,,,,,,,Southern Metropolitan,10331,2250000
Kew,2,u,RT,13-08-2016,5.6,3101,,,,,,,Southern Metropolitan,10331,843000
Kew,2,u,RT,13-08-2016,5.6,3101,,,,,,,Southern Metropolitan,10331,725000
Kew,2,u,Nelson,13-08-2016,5.6,3101,2,1,1,50,90,1970,Southern Metropolitan,10331,580000
Kew East,3,h,Nelson,13-08-2016,7.5,3102,3,1,1,702,127,1933,Southern Metropolitan,2671,1615000
Kew East,2,u,Jellis,13-08-2016,7.5,3102,,,,,,,Southern Metropolitan,2671,655000
Maidstone,2,h,Jas,13-08-2016,9.2,3012,2,1,2,270,95,1900,Western Metropolitan,3873,646000
Malvern,4,h,Kay,13-08-2016,7.4,3144,4,3,2,587,392,2016,Southern Metropolitan,4675,3800000
Malvern East,3,h,Marshall,13-08-2016,11.2,3145,3,2,2,543,,,Southern Metropolitan,8801,2305000
Maribyrnong,2,t,Brad,13-08-2016,8.7,3032,,,,,,,Western Metropolitan,4918,620000
Melbourne,1,u,LITTLE,13-08-2016,2.8,3000,1,1,1,50,51,2005,Northern Metropolitan,17496,432000
Melbourne,2,u,Jellis,13-08-2016,2.8,3000,,,,,,,Northern Metropolitan,17496,585000
Melbourne,1,u,Greg,13-08-2016,2.8,3000,1,1,1,50,,2005,Northern Metropolitan,17496,400000
Melbourne,1,u,Greg,13-08-2016,2.8,3000,1,1,0,50,,,Northern Metropolitan,17496,210000
Middle Park,2,h,Buxton,13-08-2016,4.1,3206,2,1,1,145,,,Southern Metropolitan,2019,1690000
Mont Albert,4,h,Marshall,13-08-2016,11.8,3127,,,,,,,Eastern Metropolitan,2079,2100000
Mont Albert,4,h,Jellis,13-08-2016,11.8,3127,4,2,2,931,199,1930,Eastern Metropolitan,2079,2200000
Moonee Ponds,3,h,Brad,13-08-2016,6.9,3039,3,1,2,572,,,Western Metropolitan,6232,1100000
Niddrie,3,h,Brad,13-08-2016,11.2,3042,3,1,2,603,,,Western Metropolitan,2291,840000
Niddrie,3,h,Barry,13-08-2016,11.2,3042,3,1,1,822,,,Western Metropolitan,2291,975000
North Melbourne,3,h,Nelson,13-08-2016,2.3,3051,3,2,0,118,150,1890,Northern Metropolitan,6821,1385000
Northcote,4,h,Nelson,13-08-2016,5.5,3070,5,2,1,573,186,1890,Northern Metropolitan,11364,2175000
Northcote,3,h,Brace,13-08-2016,5.5,3070,3,1,2,610,,,Northern Metropolitan,11364,1085000
Oak Park,3,h,Brad,13-08-2016,11.5,3046,3,1,2,719,,,Northern Metropolitan,2651,727500
Oak Park,3,u,Brad,13-08-2016,11.5,3046,,,,,,,Northern Metropolitan,2651,600000
Pascoe Vale,2,t,Brad,13-08-2016,9.9,3044,2,1,1,147,109,2012,Northern Metropolitan,7485,500000
Pascoe Vale,2,u,Brad,13-08-2016,9.9,3044,2,1,1,139,74,1975,Northern Metropolitan,7485,485000
Preston,2,h,Nelson,13-08-2016,8.8,3072,2,1,1,400,88,1955,Northern Metropolitan,14577,722000
Preston,3,t,Ray,13-08-2016,8.8,3072,,,,,,,Northern Metropolitan,14577,785000
Reservoir,2,u,Nelson,13-08-2016,11.2,3073,2,1,1,50,,,Northern Metropolitan,21650,452000
Reservoir,2,u,Love,13-08-2016,11.2,3073,2,1,1,50,54,2012,Northern Metropolitan,21650,335000
Reservoir,3,h,Barry,13-08-2016,11.2,3073,3,1,3,620,,,Northern Metropolitan,21650,585000
Reservoir,3,u,Barry,13-08-2016,11.2,3073,,,,,,,Northern Metropolitan,21650,540000
Reservoir,3,h,Barry,13-08-2016,11.2,3073,,,,,,,Northern Metropolitan,21650,635000
Reservoir,2,t,Nelson,13-08-2016,11.2,3073,,,,,,,Northern Metropolitan,21650,550000
Reservoir,2,u,Barry,13-08-2016,11.2,3073,2,1,1,139,,,Northern Metropolitan,21650,360000
Reservoir,2,u,Barry,13-08-2016,11.2,3073,2,1,1,220,,2011,Northern Metropolitan,21650,380000
Reservoir,3,h,Barry,13-08-2016,11.2,3073,3,1,2,592,84,1960,Northern Metropolitan,21650,546000
Reservoir,2,t,Barry,13-08-2016,11.2,3073,,,,,,,Northern Metropolitan,21650,550000
Reservoir,3,u,Ray,13-08-2016,11.2,3073,3,1,1,172,97,1970,Northern Metropolitan,21650,400000
Reservoir,4,h,Barry,13-08-2016,11.2,3073,4,2,4,601,,,Northern Metropolitan,21650,1700000
Richmond,2,u,Caine,13-08-2016,2.6,3121,2,1,1,50,51,1965,Northern Metropolitan,14949,391000
Richmond,2,h,Jellis,13-08-2016,2.6,3121,2,1,0,108,,1900,Northern Metropolitan,14949,1035000
Richmond,2,u,Biggin,13-08-2016,2.6,3121,2,1,1,50,,1965,Northern Metropolitan,14949,530000
Rosanna,5,h,Miles,13-08-2016,11.4,3084,5,3,1,1850,,1910,Eastern Metropolitan,3540,2530000
Rosanna,3,h,hockingstuart,13-08-2016,11.4,3084,3,1,2,604,,,Eastern Metropolitan,3540,720000
South Melbourne,3,h,Greg,13-08-2016,2.1,3205,3,2,0,113,120,1910,Southern Metropolitan,5943,1200000
South Yarra,4,h,Marshall,13-08-2016,3.3,3141,,,,,,,Southern Metropolitan,14887,2525000
South Yarra,2,h,hockingstuart,13-08-2016,3.3,3141,2,1,0,105,,,Southern Metropolitan,14887,1036500
South Yarra,2,u,hockingstuart,13-08-2016,3.3,3141,2,1,1,50,85,1970,Southern Metropolitan,14887,627500
South Yarra,3,u,Kay,13-08-2016,3.3,3141,3,0,0,50,,,Southern Metropolitan,14887,1072000
South Yarra,1,u,Biggin,13-08-2016,3.3,3141,1,1,1,50,56,2007,Southern Metropolitan,14887,425000
Southbank,2,u,Greg,13-08-2016,1.2,3006,,,,,,,Southern Metropolitan,8400,380000
St Kilda,2,u,McGrath,13-08-2016,6.1,3182,2,1,1,50,70,2003,Southern Metropolitan,13240,540000
St Kilda,2,u,McGrath,13-08-2016,6.1,3182,2,1,1,50,83,1970,Southern Metropolitan,13240,475000
St Kilda,1,u,Wilson,13-08-2016,6.1,3182,1,1,0,50,,2013,Southern Metropolitan,13240,335000
Sunshine,3,h,Bells,13-08-2016,12.6,3020,3,1,1,500,,,Western Metropolitan,3755,675000
Sunshine West,4,h,Barry,13-08-2016,13.5,3020,4,1,1,672,151,1970,Western Metropolitan,6763,510000
Surrey Hills,2,u,hockingstuart,13-08-2016,11.2,3127,2,1,2,297,,,Southern Metropolitan,5457,805000
Surrey Hills,5,h,Marshall,13-08-2016,11.2,3127,5,2,2,641,286,2001,Southern Metropolitan,5457,1975000
Templestowe Lower,3,h,Fletchers,13-08-2016,13.8,3107,,,,,,,Eastern Metropolitan,5420,982000
Templestowe Lower,4,h,Barry,13-08-2016,13.8,3107,,,,,,,Eastern Metropolitan,5420,958000
Templestowe Lower,4,h,hockingstuart,13-08-2016,13.8,3107,4,3,2,728,164,1970,Eastern Metropolitan,5420,1000000
Thornbury,3,h,Stockdale,13-08-2016,6.5,3071,3,3,2,273,71,1958,Northern Metropolitan,8870,701000
Toorak,4,h,Kay,13-08-2016,4.6,3142,4,4,4,324,60,,Southern Metropolitan,7217,4000000
Watsonia,3,h,Darren,13-08-2016,14.9,3087,3,2,2,265,260,,Northern Metropolitan,2329,808000
Williamstown,3,h,Raine,13-08-2016,8,3016,3,2,2,418,204,1995,Western Metropolitan,6380,1010000
Williamstown North,4,h,Sweeney,13-08-2016,8.9,3016,4,1,3,468,139,,Western Metropolitan,802,881000
Windsor,2,u,hockingstuart,13-08-2016,5.1,3181,2,1,1,1057,,,Southern Metropolitan,4380,450000
Yallambie,3,h,Ray,13-08-2016,15,3085,3,2,2,586,140,1970,Northern Metropolitan,1369,602500
Yarraville,3,h,Jas,13-08-2016,7,3013,3,1,1,444,,,Western Metropolitan,6543,850000
Yarraville,2,u,Sweeney,13-08-2016,7,3013,2,1,1,50,72,1950,Western Metropolitan,6543,501344
Yarraville,2,u,Hunter,13-08-2016,7,3013,,,,,,,Western Metropolitan,6543,550000
Carlton,1,u,Woodards,13-08-2016,1.8,3053,1,1,1,50,,,Northern Metropolitan,6786,435000
Carlton,2,u,Nelson,13-08-2016,1.8,3053,,,,,,,Northern Metropolitan,6786,660000
Carlton,2,t,Jellis,13-08-2016,1.8,3053,,,,,,,Northern Metropolitan,6786,872000
East Melbourne,3,h,Nelson,13-08-2016,1.5,3002,,,,,,,Northern Metropolitan,3040,1450000
Fawkner,2,u,Brad,13-08-2016,12.4,3060,,,,,,,Northern Metropolitan,5070,460000
Fawkner,2,h,Ray,13-08-2016,12.4,3060,2,1,2,640,114,1970,Northern Metropolitan,5070,619000
Hawthorn East,2,u,Kay,13-08-2016,7.5,3123,2,1,1,50,60,1970,Southern Metropolitan,6482,573000
Hawthorn East,2,u,RT,13-08-2016,7.5,3123,,,,,,,Southern Metropolitan,6482,820000
Hawthorn East,2,u,hockingstuart,13-08-2016,7.5,3123,2,1,1,50,110,1945,Southern Metropolitan,6482,680000
Ivanhoe East,2,u,Miles,13-08-2016,9,3079,2,1,1,50,,,Eastern Metropolitan,1554,485000
Murrumbeena,3,t,Buxton,13-08-2016,12.1,3163,3,2,2,50,,2009,Southern Metropolitan,4442,785000
Murrumbeena,3,h,Woodards,13-08-2016,12.1,3163,3,1,1,700,,,Southern Metropolitan,4442,1420000
West Footscray,3,h,Brad,13-08-2016,8.2,3012,3,1,1,353,360,1925,Western Metropolitan,5058,756000
Docklands,4,t,Raine,13-08-2016,1.9,3008,4,2,2,50,,,Southern Metropolitan,4707,1370000
South Kingsville,3,t,Hunter,13-08-2016,9.1,3015,,,,,,,Western Metropolitan,984,691000
Travancore,3,h,Jellis,13-08-2016,5.3,3032,3,2,1,337,153,1930,Western Metropolitan,1052,1257000
Abbotsford,1,u,Greg,14-05-2016,2.5,3067,1,1,1,50,,,Northern Metropolitan,4019,441000
Airport West,3,h,Barry,14-05-2016,13.5,3042,,,,,,,Western Metropolitan,3464,970000
Airport West,5,h,Propertyau,14-05-2016,13.5,3042,3,2,2,596,,,Western Metropolitan,3464,755000
Altona,3,h,Sweeney,14-05-2016,13.8,3018,3,1,4,625,,1960,Western Metropolitan,5301,635000
Altona,2,u,hockingstuart,14-05-2016,13.8,3018,2,1,1,168,,,Western Metropolitan,5301,620000
Altona North,3,t,Greg,14-05-2016,11.1,3025,,,,,,,Western Metropolitan,5132,670000
Altona North,3,h,Hunter,14-05-2016,11.1,3025,,,,,,,Western Metropolitan,5132,680000
Altona North,3,h,Greg,14-05-2016,11.1,3025,,,,,,,Western Metropolitan,5132,765000
Altona North,3,h,hockingstuart,14-05-2016,11.1,3025,3,2,2,171,109,2012,Western Metropolitan,5132,675000
Armadale,1,u,Jellis,14-05-2016,6.3,3143,1,1,0,881,,,Southern Metropolitan,4836,390000
Ascot Vale,4,h,Nelson,14-05-2016,5.9,3032,3,2,2,683,232,1978,Western Metropolitan,6567,1340000
Ascot Vale,3,h,Brad,14-05-2016,5.9,3032,3,1,1,263,117,1910,Western Metropolitan,6567,955000
Ascot Vale,2,h,Jellis,14-05-2016,5.9,3032,,,,,,,Western Metropolitan,6567,1075000
Ashburton,2,h,Jellis,14-05-2016,11,3147,,,,,,,Southern Metropolitan,3052,1356000
Ashburton,3,h,Jellis,14-05-2016,11,3147,3,2,2,351,228,2006,Southern Metropolitan,3052,1662000
Ashwood,2,u,Ray,14-05-2016,12.2,3147,2,1,1,216,90,2003,Southern Metropolitan,2894,690000
Avondale Heights,4,h,Nelson,14-05-2016,10.5,3034,,,,,,,Western Metropolitan,4502,1631000
Balaclava,1,u,Beller,14-05-2016,6.6,3183,,,,,,,Southern Metropolitan,2952,438000
Balwyn,4,t,Ray,14-05-2016,9.7,3103,,,,,,,Southern Metropolitan,5682,1920000
Balwyn,3,h,Marshall,14-05-2016,9.7,3103,3,1,4,671,465,,Southern Metropolitan,5682,1860000
Balwyn North,3,h,Fletchers,14-05-2016,9.2,3104,3,1,1,542,,,Southern Metropolitan,7809,980000
Balwyn North,3,h,Noel,14-05-2016,9.2,3104,3,3,1,310,188,2012,Southern Metropolitan,7809,1230000
Balwyn North,7,h,Barry,14-05-2016,9.2,3104,5,3,3,637,529,2008,Southern Metropolitan,7809,2600000
Balwyn North,4,h,Fletchers,14-05-2016,9.2,3104,3,3,2,665,232,1970,Southern Metropolitan,7809,1950000
Bentleigh,3,h,Buxton,14-05-2016,13,3204,,,,,,,Southern Metropolitan,6795,1360000
Bentleigh East,3,t,hockingstuart,14-05-2016,13.9,3165,3,2,1,268,117,2000,Southern Metropolitan,10969,805000
Bentleigh East,3,h,hockingstuart,14-05-2016,13.9,3165,2,1,3,660,,,Southern Metropolitan,10969,880000
Bentleigh East,4,h,Hodges,14-05-2016,13.9,3165,4,2,1,274,190,2004,Southern Metropolitan,10969,1100000
Braybrook,2,t,Batty,14-05-2016,10.8,3019,,,,,,,Western Metropolitan,3589,445000
Braybrook,3,h,Barry,14-05-2016,10.8,3019,3,2,2,631,,,Western Metropolitan,3589,585000
Brighton,3,u,Biggin,14-05-2016,11.2,3186,3,1,2,119,,,Southern Metropolitan,10579,826000
Brighton,5,h,Gary,14-05-2016,11.2,3186,5,3,2,895,423,1938,Southern Metropolitan,10579,2730000
Brighton,2,u,Nick,14-05-2016,11.2,3186,2,2,1,118,,1970,Southern Metropolitan,10579,900000
Brighton,3,t,Marshall,14-05-2016,11.2,3186,3,2,2,323,,1995,Southern Metropolitan,10579,1962000
Brighton East,3,h,Hodges,14-05-2016,10.7,3187,,,,,,,Southern Metropolitan,6938,1460000
Brighton East,4,h,Marshall,14-05-2016,10.7,3187,,,,,,,Southern Metropolitan,6938,1760000
Brighton East,4,h,Buxton,14-05-2016,10.7,3187,,,,,,,Southern Metropolitan,6938,1600000
Brighton East,4,h,RT,14-05-2016,10.7,3187,2,2,1,603,177,1920,Southern Metropolitan,6938,1530000
Brighton East,2,h,Hodges,14-05-2016,10.7,3187,2,1,2,347,,,Southern Metropolitan,6938,805000
Brighton East,3,h,RT,14-05-2016,10.7,3187,,,,,,,Southern Metropolitan,6938,930000
Brighton East,3,h,RT,14-05-2016,10.7,3187,,,,,,,Southern Metropolitan,6938,805000
Brighton East,2,t,Buxton,14-05-2016,10.7,3187,,,,,,,Southern Metropolitan,6938,1090000
Brunswick,3,h,Nelson,14-05-2016,5.2,3056,3,1,1,314,,,Northern Metropolitan,11918,905000
Brunswick,3,h,Jellis,14-05-2016,5.2,3056,3,2,1,240,162,2005,Northern Metropolitan,11918,976000
Brunswick,3,t,RW,14-05-2016,5.2,3056,3,2,1,50,112,1900,Northern Metropolitan,11918,641000
Brunswick West,3,h,Barry,14-05-2016,5.9,3055,3,1,1,412,,1934,Northern Metropolitan,7082,1245000
Brunswick West,2,u,Moonee,14-05-2016,5.9,3055,,,,,,,Northern Metropolitan,7082,515000
Brunswick West,2,h,hockingstuart,14-05-2016,5.9,3055,2,1,1,410,,,Northern Metropolitan,7082,900000
Brunswick West,3,t,RW,14-05-2016,5.9,3055,,,,,,,Northern Metropolitan,7082,650000
Bulleen,3,h,Barry,14-05-2016,11.8,3105,,,,,,,Eastern Metropolitan,4480,975000
Bulleen,4,h,Jellis,14-05-2016,11.8,3105,4,3,2,411,,1970,Eastern Metropolitan,4480,1320000
Burwood,2,h,Noel,14-05-2016,11.7,3125,2,1,1,276,92,1965,Southern Metropolitan,5678,633000
Burwood,3,h,Buxton,14-05-2016,11.7,3125,3,1,2,776,,,Southern Metropolitan,5678,1070500
Camberwell,5,h,Marshall,14-05-2016,7.8,3124,5,3,2,801,,1920,Southern Metropolitan,8920,2000000
Camberwell,3,u,Jellis,14-05-2016,7.8,3124,3,1,1,50,89,1960,Southern Metropolitan,8920,591000
Camberwell,5,h,Fletchers,14-05-2016,7.8,3124,,,,,,,Southern Metropolitan,8920,1800000
Carlton North,3,h,Nelson,14-05-2016,3.2,3054,2,2,1,190,,,Northern Metropolitan,3106,2210000
Carnegie,3,h,Woodards,14-05-2016,11.4,3163,3,2,1,588,,,Southern Metropolitan,7822,1200000
Carnegie,4,h,Gary,14-05-2016,11.4,3163,3,2,1,598,201,1970,Southern Metropolitan,7822,1501000
Carnegie,3,h,Gary,14-05-2016,11.4,3163,3,1,1,586,,,Southern Metropolitan,7822,950000
Carnegie,3,t,Marshall,14-05-2016,11.4,3163,3,2,2,325,223,2005,Southern Metropolitan,7822,970000
Caulfield South,4,h,hockingstuart,14-05-2016,9.3,3162,4,2,2,575,256,2008,Southern Metropolitan,5051,1774500
Coburg,3,h,Woodards,14-05-2016,7.8,3058,3,2,1,107,110,1994,Northern Metropolitan,11204,763000
Coburg North,2,h,Ray,14-05-2016,9.2,3058,,,,,,,Northern Metropolitan,3445,570000
Coburg North,2,t,RW,14-05-2016,9.2,3058,,,,,,,Northern Metropolitan,3445,522500
Collingwood,3,t,Jellis,14-05-2016,1.6,3066,3,2,1,82,82,1995,Northern Metropolitan,4553,897500
Collingwood,2,u,Biggin,14-05-2016,1.6,3066,2,2,1,50,,,Northern Metropolitan,4553,865000
Collingwood,2,h,Jellis,14-05-2016,1.6,3066,3,1,1,282,112,1920,Northern Metropolitan,4553,1265000
Doncaster,4,h,Fletchers,14-05-2016,13.9,3108,4,2,3,767,,1963,Eastern Metropolitan,9028,1250000
